position0,position1,position2,position3,position4,position5,position6,torque0,torque1,torque2,torque3,torque4,torque5,torque6,tactile0,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15
-0.44180453206312903,-0.15737258586409408,0.8998767791409995,0.19364652361419255,-0.1250214501918807,0.6997776578477611,-0.4849050941678869,-0.23774791271194184,0.3194423536488763,-0.5316041801306528,0.004670329837646037,-0.27209302469842633,0.15460118305930426,-0.3284999962994123,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.8917682916902715,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8925414363183498,-0.8902173919490334
-0.4417902872072257,-0.15737258586409408,0.8998591761611424,0.19364652361419255,-0.12504295702344048,0.6998193496242634,-0.4848930270699094,-0.23647308260486355,0.32045969097658633,-0.5323888373952187,0.004670332423156842,-0.26162791154501686,0.15184044952813303,-0.3284999962994123,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6717391336366073,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8902173919490334
-0.44180453206312903,-0.15737258586409408,0.8998591761611424,0.19364652361419255,-0.12503220360766065,0.6998332468830978,-0.48485682577597633,-0.23689804848744567,0.31774679420013896,-0.5323888334977918,0.004395606378145067,-0.24069768523819768,0.15460118305930426,-0.3240000041308886,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8951086959745167
-0.4417902872072257,-0.1573725858640942,0.8998591761611424,0.19364652361419255,-0.12504295702344048,0.6998054523654295,-0.48485682577597633,-0.2366855993164887,0.3197814605632202,-0.5331734907623578,0.00576923143218222,-0.24069768523819768,0.15184044952813303,-0.3284999962994123,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.8917682916902715,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8925414363183498,-0.8902173919490334
-0.4417902872072257,-0.15738483270064285,0.8998591761611424,0.19364652361419255,-0.12503220360766043,0.6998054523654295,-0.48484475867799887,-0.23604825180361744,0.3197814605632202,-0.5316041801306528,0.004945055882657701,-0.23023256691542704,0.14907971270590814,-0.33299998846793577,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6717391336366073,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8804347838980668
-0.44177604235132234,-0.15738483270064285,0.8998415647869219,0.19364652361419255,-0.12503220360766065,0.6998193496242634,-0.4847964902860883,-0.23498587086749634,0.31774679420013896,-0.5319965068142223,0.004120882918644209,-0.24069768523819768,0.14631897917473713,-0.3374999806364595,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6695652227276789,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
-0.441761797495419,-0.15738483270064285,0.8998239534127014,0.19364652361419255,-0.12504295702344048,0.6998054523654295,-0.48473615479620086,-0.23477342169653914,0.3187641315278492,-0.5316041840280796,0.004395608963655873,-0.24069768523819768,0.15184044623707893,-0.3284999962994123,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6717391336366073,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8831950200355642,-0.8900552484244665,-0.8902173919490334
-0.44180453206312903,-0.15738483270064285,0.8998415647869219,0.19364652361419255,-0.12504295702344048,0.6998193496242634,-0.4847240876982234,-0.23498587086749634,0.31740768728579505,-0.5331734907623578,0.005219781927669587,-0.21976745376201756,0.15736191659047505,-0.33299998846793577,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
-0.44174755263951493,-0.15738483270064285,0.8998239534127014,0.19364652361419255,-0.12504295702344048,0.6998471424853273,-0.4847120206002453,-0.23541080297974437,0.3187641315278492,-0.5335658213433543,0.005494507972681362,-0.25116279839160727,0.14907971270590814,-0.3150000025818055,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6717391336366073,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8902173919490334
-0.44177604235132234,-0.15738483270064285,0.8998239534127014,0.1936766982415944,-0.12503220360766065,0.6997915551065955,-0.48466375220833535,-0.23116154939793132,0.3231725794606942,-0.5351351319750594,0.019780215774098497,-0.23023256691542704,0.14907971270590814,-0.3284999962994123,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6739130445455358,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8887966800237094,-0.8900552484244665,-0.8804347838980668
-0.4417902872072257,-0.1571152854374427,0.8989965462045063,0.19697959913660112,-0.12506442288960673,0.6997915551065955,-0.4846878864042903,-0.18973098927191556,0.37776940630316524,-0.5735832556056497,0.11126373279744695,-0.19883721711647617,0.15736191659047505,-0.3150000025818055,-0.9,-0.9,-0.9,-0.9,-0.7403940948744585,-0.6673913118187504,-0.7179775229724928,-0.6990291226866986,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
-0.4416335937922875,-0.15233640153897243,0.8828710498388087,0.21634420082307393,-0.12504295702344048,0.6997915551065955,-0.48465159299510624,-0.23689804848744567,0.42558403681238366,-0.631647776869699,0.06456043442098691,-0.17790698564029594,0.15460117976825016,-0.33299997986191776,-0.9,-0.9,-0.9,-0.9,-0.7359605966565301,-0.665217400909822,-0.710393251636577,-0.6946601949585114,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8951086959745167
-0.4414769003773501,-0.13073333244433838,0.8451803334020987,0.2467890638960405,-0.12503220360766043,0.6997776578477611,-0.48456703119401157,-0.29086405526927916,0.404220052438541,-0.633609414063179,-0.018131865967804917,-0.2093023380239274,0.15736191659047505,-0.355499992340644,-0.9,-0.9,-0.9,-0.9,-0.7315271035585819,-0.6630434900008935,-0.710393251636577,-0.6946601949585114,-0.9,-0.891509434098127,-0.894512194460181,-0.8899553568321441,-0.9,-0.8831950200355642,-0.8925414363183498,-0.8902173919490334
-0.4413771863860253,-0.09280857240124729,0.7881425570323771,0.2781455692616216,-0.12498923090993441,0.6995831078203166,-0.4844704944101905,-0.2730170754065293,0.2617935272617834,-0.4743243128427154,-0.049175821793144836,-0.2720930298677875,0.11871161095248717,-0.3464999821855427,-0.9,-0.9,-0.9,-0.9,-0.7403940923144685,-0.6695652227276789,-0.7179775200529535,-0.7012135915962094,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8902173919490334
-0.4411918945199226,-0.05408730054597766,0.7369141753393341,0.30090373392970726,-0.12498921042723765,0.6948999486084334,-0.48439804576469947,-0.29936269751424094,0.30859080178552867,-0.4880557957290749,-0.07967032617483893,-0.3453488426190988,0.11319014718119924,-0.3689999946642688,-0.9,-0.9,-0.9,-0.9,-0.7426108388634427,-0.6760869554544642,-0.7230336951044852,-0.7033980655511376,-0.9,-0.891509434098127,-0.889024388920362,-0.8879464281985728,-0.8943277309181223,-0.8775933600474188,-0.8900552484244665,-0.8951086959745167
-0.44094962323020653,-0.015880676287661433,0.6942238348768298,0.31120498317975664,-0.12499996384301748,0.6683018384817546,-0.48438597866672195,-0.19759211515233632,0.27332328673456463,-0.40409764161242173,-0.03626373452112086,-0.2930232613439677,0.13527603188583714,-0.3464999907915607,-0.9,-0.9,-0.9,-0.9,-0.6007389291696048,-0.539130437644846,-0.5915730240635442,-0.6029126218490697,-0.9,-0.891509434098127,-0.889024388920362,-0.8919642854657153,-0.9,-0.8775933600474188,-0.8900552484244665,-0.9
-0.4350917252731535,0.011800165906201587,0.6709158106732315,0.3147373955155538,-0.12501069677610077,0.5807531979838015,-0.48438593260909585,-0.07946183220571701,0.2621326300299579,-0.3974280607097511,0.014285712972438969,-0.26162791154501686,0.14355823906145815,-0.30599999242670406,-0.9,-0.9,-0.9,-0.9,-0.4433497705930375,-0.4065217717793444,-0.4676966126803614,-0.5111650588304624,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.9
-0.419784268362936,0.03147938318688259,0.6579062767844314,0.3182697617832172,-0.1250214501918807,0.45047248360789405,-0.483927152597819,-0.19546755590209774,0.30079125775914173,-0.4813862204289555,-0.030494497917916807,-0.26162791154501686,0.11319014059909105,-0.31049999320124577,-0.9,-0.8976683938268537,-0.9,-0.8415584378625248,-0.5630541968772036,-0.5434782594627029,-0.6016853858447653,-0.6334951563097182,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.8853260879235502
-0.40483325906837925,0.04603659479929867,0.6367635618074451,0.3230338978027597,-0.1250214501918807,0.4169677613634818,-0.48378230136446243,-0.20332864801218453,0.2933308268663529,-0.45549258526225445,-0.05054944813993745,-0.25116279839160727,0.11042940706792026,-0.30599999242670406,-0.9,-0.7251295354994223,-0.8657894742840235,-0.6487012790968707,-0.509852233622003,-0.49565218934001715,-0.5587078687113511,-0.605097100849415,-0.9,-0.891509434098127,-0.889024388920362,-0.8899553568321441,-0.9,-0.8775933600474188,-0.8900552484244665,-0.9
