position1,position2,position3,position4,position5,position6,position7,torque1,torque2,torque3,torque4,torque5,torque6,torque7,tactile0,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15
0.569804589,-0.134097448,0.801829318,-0.420859094,-0.830235855,0.898678039,-0.382620715,-0.107108607,0.292224353,-0.503965997,0.198747275,0.047368406,0.138970611,-0.114084574,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.895645161,-0.897096774,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569838703,-0.134148057,0.801829318,-0.421034216,-0.830235855,0.898728226,-0.382539449,-0.109984065,0.292648476,-0.506090643,0.203579059,0.047368406,0.132352962,-0.126760632,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.895645161,-0.9,-0.895645162,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.134198594,0.801829318,-0.421071732,-0.830235855,0.898711502,-0.382539449,-0.109504828,0.292224363,-0.504390929,0.204223298,0.039473672,0.135661787,-0.120422591,-0.9,-0.9,-0.9,-0.9,-0.901451613,-0.9,-0.9,-0.9,-0.895645161,-0.9,-0.898548387,-0.9,-0.9,-0.9,-0.9,-0.9
0.569804589,-0.134211228,0.801829318,-0.421071732,-0.830235855,0.898728226,-0.382539449,-0.109025553,0.29307262,-0.504390929,0.203256945,0.047368406,0.142279433,-0.114084562,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.895645161,-0.897096774,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569838703,-0.134274448,0.801829318,-0.421084237,-0.830214532,0.898828633,-0.382539449,-0.110463263,0.295193248,-0.504390927,0.203256939,0.047368406,0.138970611,-0.114084562,-0.9,-0.9,-0.9,-0.9,-0.9,-0.898548387,-0.9,-0.9,-0.895645161,-0.9,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569872816,-0.134299764,0.80184208,-0.421084237,-0.830235855,0.89887882,-0.382539449,-0.111182137,0.296041494,-0.502691215,0.2026127,0.055263148,0.142279435,-0.114084562,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.898548387,-0.9,-0.898548387,-0.9,-0.9,-0.9,-0.9,-0.9
0.569804589,-0.134299764,0.801829318,-0.421121896,-0.830214532,0.898979211,-0.382539449,-0.113099084,0.295617381,-0.505240787,0.201324221,0.047368406,0.132352962,-0.114084574,-0.9,-0.9,-0.9,-0.9,-0.9,-0.898548387,-0.9,-0.9,-0.898548387,-0.897096774,-0.894193549,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.134299764,0.801829318,-0.421171965,-0.830203871,0.899096373,-0.382539449,-0.113338759,0.296041505,-0.504815855,0.202290586,0.055263148,0.142279435,-0.114084574,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.895645161,-0.9,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569736362,-0.134299764,0.801829318,-0.421184471,-0.830193209,0.899180024,-0.382539449,-0.114776393,0.296041505,-0.505240787,0.2026127,0.047368406,0.142279435,-0.114084562,-0.9,-0.9,-0.9,-0.9,-0.9,-0.898548387,-0.9,-0.9,-0.898548387,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.134072204,0.801829318,-0.421184471,-0.830193209,0.899230227,-0.382539449,-0.116932939,0.349905785,-0.517138807,0.201968466,0.071052633,0.142279433,-0.133098649,-0.9,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
